"","Word","Freq"
"anymore","anymore",177
"run","run",175
"feels","feels",175
"everyone","everyone",175
"news","news",174
"betty","betty",174
"beautiful","beautiful",173
"ones","ones",173
"coming","coming",173
"work","work",171
"dad","dad",171
"bon","bon",170
"carefree","carefree",168
"neva","neva",168
"unpredictable","unpredictable",168
"grow","grow",167
"midnight","midnight",167
"less","less",167
"yet","yet",166
"tears","tears",165
"talkin","talkin",165
"ways","ways",164
"american","american",164
"ten","ten",162
"window","window",162
"found","found",162
"sorrow","sorrow",162
"yellow","yellow",162
"rest","rest",162
"stoney","stoney",162
"walking","walking",161
"flying","flying",161
"moving","moving",161
"quite","quite",161
"set","set",160
"future","future",160
"miles","miles",160
"mans","mans",160
"promise","promise",159
"stars","stars",159
"wait","wait",158
"sight","sight",157
"wrong","wrong",156
"everybody","everybody",156
"fade","fade",156
"guess","guess",156
"whiskey","whiskey",156
"skunk","skunk",156
"turnin","turnin",156
"bring","bring",155
"everybodys","everybodys",155
"dont","dont",154
"trees","trees",154
"lovin","lovin",154
"mornin","mornin",154
"full","full",154
"voice","voice",154
"rolling","rolling",153
"number","number",153
"finally","finally",153
"hide","hide",152
"land","land",151
"break","break",151
"wake","wake",151
"word","word",151
"hair","hair",150
"youth","youth",150
"wife","wife",149
"fear","fear",149
"past","past",147
"someday","someday",147
"ampampquot","ampampquot",146
"parking","parking",146
"brick","brick",146
"touched","touched",145
"lake","lake",145
"move","move",145
"straight","straight",144
"nique","nique",144
"parle","parle",144
"tous","tous",144
"guitar","guitar",143
"burning","burning",143
"rainy","rainy",143
"summer","summer",142
"part","part",142
"drinkin","drinkin",142
"died","died",141
"fifty","fifty",141
"casey","casey",140
"�","�",140
"kids","kids",140
"shining","shining",140
"clouds","clouds",140
"kodachome","kodachome",140
"spinning","spinning",139
"bitch","bitch",139
"met","met",138
"shake","shake",138
"paradise","paradise",138
"lay","lay",137
"else","else",136
"spend","spend",136
"house","house",136
"soft","soft",135
"started","started",135
"strong","strong",135
"couple","couple",134
"nights","nights",133
"somebody","somebody",133
"black","black",133
"line","line",133
"chevy","chevy",133
"pie","pie",133
"rye","rye",133
"kong","kong",133
"graceland","graceland",133
"blow","blow",132
"stand","stand",132
"dieu","dieu",132
"looks","looks",132
"driving","driving",132
"badder","badder",132
"baddest","baddest",132
"junkyard","junkyard",132
"meaner","meaner",132
"hot","hot",131
"lead","lead",131
"catch","catch",130
"gives","gives",130
"ask","ask",129
"small","small",129
"chance","chance",128
"paved","paved",128
"bound","bound",127
"began","began",127
"keeps","keeps",127
"wit","wit",127
"jones","jones",126
"november","november",126
"entertaining","entertaining",126
"rather","rather",125
"games","games",125
"changed","changed",124
"romance","romance",124
"west","west",124
"daddy","daddy",123
"sea","sea",123
"mountains","mountains",123
"piece","piece",123
"easy","easy",122
"knows","knows",122
"bit","bit",122
"gave","gave",121
"pray","pray",121
"alive","alive",121
"sounds","sounds",120
"ahead","ahead",120
"doin","doin",119
"losing","losing",119
"kinda","kinda",119
"breath","breath",118
"’s","’s",118
"trouble","trouble",118
"begun","begun",117
"pick","pick",116
"dollar","dollar",116
"darling","darling",116
"blind","blind",115
"captain","captain",115
"faces","faces",115
"getting","getting",114
"person","person",114
"stumble","stumble",114
"shame","shame",113
"lines","lines",113
"felice","felice",112
"una","una",112
"station","station",112
"drown","drown",112
"elle","elle",112
"jail","jail",111
"orleans","orleans",111
"starry","starry",111
"tale","tale",111
"sat","sat",111
"simple","simple",111
"ground","ground",110
"waiting","waiting",110
"asked","asked",110
"yesterday","yesterday",110
"songs","songs",109
"climbed","climbed",109
"clothes","clothes",109
"coat","coat",109
"grace","grace",109
"running","running",108
"dominique","dominique",108
"woo","woo",108
"cried","cried",108
"streets","streets",107
"jack","jack",107
"wine","wine",107
"sayin","sayin",107
"babe","babe",106
"hole","hole",106
"needs","needs",106
"trying","trying",106
"dancing","dancing",106
"walks","walks",106
"wire","wire",106
"five","five",105
"short","short",105
"knees","knees",105
"sang","sang",105
"dogs","dogs",105
"tryyy","tryyy",105
"m","m",105
"tijuana","tijuana",104
"almost","almost",104
"seventeen","seventeen",104
"golden","golden",103
"takes","takes",103
"somehow","somehow",103
"paper","paper",103
"ends","ends",103
"hundred","hundred",102
"clear","clear",102
"memory","memory",102
"wet","wet",102
"belongs","belongs",102
"warm","warm",101
"buy","buy",101
"feelings","feelings",101
"comfortable","comfortable",101
"tired","tired",100
"ride","ride",100
"radio","radio",100
"fool","fool",100
"later","later",100
"match","match",100
"intuition","intuition",100
"spoken","spoken",99
"meet","meet",99
"praise","praise",99
"thousand","thousand",99
"chain","chain",99
"allergies","allergies",99
"teach","teach",98
"beneath","beneath",98
"game","game",98
"swear","swear",98
"begin","begin",98
"knowing","knowing",98
"telling","telling",98
"usually","usually",98
"breezes","breezes",98
"shanghai","shanghai",98
"charlie","charlie",97
"stairs","stairs",97
"wonderful","wonderful",97
"low","low",97
"nel","nel",96
"volare","volare",96
"les","les",96
"space","space",96
"evenin","evenin",96
"green","green",95
"tear","tear",95
"corner","corner",95
"virginia","virginia",95
"thinkin","thinkin",94
"three","three",94
"share","share",94
"win","win",94
"queen","queen",94
"tree","tree",93
"father","father",93
"recall","recall",93
"welcome","welcome",92
"lovely","lovely",92
"shall","shall",92
"hour","hour",92
"reasons","reasons",92
"singing","singing",92
"key","key",92
"drink","drink",91
"pride","pride",91
"answer","answer",91
"jim","jim",91
"wah","wah",90
"rememmem","rememmem",90
"secondhand","secondhand",90
"quit","quit",90
"calls","calls",90
"slow","slow",90
"sell","sell",90
"breaking","breaking",90
"nearer","nearer",90
"reunion","reunion",90
"nowhere","nowhere",90
"creepin","creepin",90
"sundown","sundown",90
"gang","gang",90
"banapple","banapple",90
"gas","gas",90
"loving","loving",89
"names","names",89
"pauvre","pauvre",88
"tout","tout",88
"pas","pas",88
"everythings","everythings",88
"dust","dust",87
"keys","keys",87
"business","business",87
"early","early",87
"toad","toad",87
"bodyguard","bodyguard",87
"pal","pal",87
"empty","empty",86
"nothings","nothings",86
"ghost","ghost",86
"river","river",86
"hop","hop",86
"reach","reach",85
"plan","plan",85
"sitting","sitting",84
"lord","lord",84
"sen","sen",84
"burn","burn",84
"bill","bill",84
"gales","gales",84
"thinking","thinking",83
"loves","loves",83
"near","near",83
"school","school",83
"ladies","ladies",83
"box","box",83
"ship","ship",83
"stare","stare",82
"mail","mail",82
"brought","brought",82
"sin","sin",82
"thank","thank",82
"laid","laid",82
"means","means",82
"tight","tight",82
"england","england",82
"squeeze","squeeze",81
"making","making",81
"rememmemmember","rememmemmember",81
"tune","tune",81
"walked","walked",81
"dear","dear",81
"suddenly","suddenly",81
"spots","spots",81
"darkness","darkness",81
"sons","sons",81
"occhi","occhi",80
"tuoi","tuoi",80
"named","named",80
"fun","fun",80
"bar","bar",80
"jump","jump",80
"caught","caught",80
"turning","turning",80
"walkin","walkin",80
"nothin","nothin",80
"spit","spit",80
"society","society",80
"mirror","mirror",80
"island","island",80
"aaaaaah","aaaaaah",80
"raise","raise",79
"kissed","kissed",79
"four","four",79
"trip","trip",79
"bottle","bottle",79
"clock","clock",79
"arms","arms",79
"second","second",79
"roofs","roofs",79
"needed","needed",79
"shadows","shadows",79
"white","white",78
"star","star",78
"cats","cats",78
"ray","ray",78
"comin","comin",78
"captured","captured",78
"youthful","youthful",78
"returned","returned",77
"top","top",77
"teeth","teeth",77
"quiet","quiet",77
"push","push",77
"worse","worse",77
"shine","shine",77
"job","job",77
"point","point",77
"messin","messin",77
"glass","glass",76
"realize","realize",76
"charlies","charlies",76
"known","known",76
"momma","momma",76
"snow","snow",76
"luckiest","luckiest",76
"spoon","spoon",76
"eggs","eggs",76
"sings","sings",75
"faith","faith",75
"evening","evening",75
"taste","taste",75
"store","store",75
"woods","woods",75
"problem","problem",75
"eat","eat",75
"valley","valley",74
"hours","hours",74
"whisper","whisper",74
"speak","speak",74
"repeat","repeat",74
"afraid","afraid",74
"weak","weak",74
"rang","rang",74
"rich","rich",74
"smiled","smiled",73
"playing","playing",73
"red","red",73
"stayed","stayed",73
"knock","knock",73
"maple","maple",73
"release","release",72
"graveyards","graveyards",72
"since","since",72
"allait","allait",72
"chantant","chantant",72
"chemins","chemins",72
"lieux","lieux",72
"routier","routier",72
"simplement","simplement",72
"ally","ally",72
"wheels","wheels",72
"climb","climb",72
"motion","motion",72
"camel","camel",72
"hardest","hardest",72
"either","either",72
"watch","watch",71
"count","count",71
"foolish","foolish",71
"bark","bark",71
"wall","wall",71
"howling","howling",71
"drinking","drinking",71
"album","album",70
"ended","ended",70
"kissing","kissing",70
"cabin","cabin",70
"drunk","drunk",70
"dreamed","dreamed",70
"hate","hate",70
"heads","heads",70
"drivin","drivin",70
"plane","plane",70
"talked","talked",70
"lying","lying",70
"sheets","sheets",70
"everlasting","everlasting",70
"proud","proud",69
"coffee","coffee",69
"castle","castle",69
"pull","pull",69
"bills","bills",69
"tells","tells",68
"paid","paid",68
"raised","raised",68
"spell","spell",68
"magic","magic",68
"cross","cross",68
"pour","pour",68
"bite","bite",68
"laughed","laughed",68
"cuz","cuz",68
"walls","walls",68
"cars","cars",68
"stinking","stinking",68
"friday","friday",68
"fuego","fuego",68
"saturday","saturday",68
"cup","cup",68
"feelins","feelins",68
"smiles","smiles",67
"despair","despair",67
"wild","wild",67
"horny","horny",67
"year","year",67
"hills","hills",67
"riding","riding",67
"direction","direction",67
"più","più",66
"fare","fare",66
"band","band",66
"grown","grown",66
"whatever","whatever",66
"fix","fix",66
"appears","appears",66
"social","social",66
"destination","destination",66
"penny","penny",65
"north","north",65
"dying","dying",65
"perfect","perfect",65
"pool","pool",65
"burned","burned",65
"fail","fail",65
"beyond","beyond",65
"carry","carry",65
"besides","besides",65
"brand","brand",65
"brush","brush",65
"cap","cap",65
"consoled","consoled",65
"mostly","mostly",65
"pancakes","pancakes",65
"picked","picked",65
"pjs","pjs",65
"pouring","pouring",65
"smiley","smiley",65
"syrup","syrup",65
"towels","towels",65
"wipe","wipe",65
"yolks","yolks",65
"cantare","cantare",64
"cheap","cheap",64
"oceans","oceans",64
"planned","planned",64
"perhaps","perhaps",64
"workin","workin",64
"hypnotized","hypnotized",64
"pressure","pressure",63
"wash","wash",63
"seemed","seemed",63
"beat","beat",63
"holding","holding",63
"runs","runs",63
"bell","bell",63
"brightly","brightly",63
"different","different",63
"edmund","edmund",63
"fellas","fellas",63
"fitzgerald","fitzgerald",63
"shoulders","shoulders",62
"rose","rose",62
"matter","matter",62
"moonlight","moonlight",62
"gets","gets",62
"moss","moss",62
"surely","surely",62
"kept","kept",62
"course","course",61
"worry","worry",61
"great","great",61
"decided","decided",61
"owl","owl",61
"lately","lately",61
"jester","jester",61
"kitchen","kitchen",61
"freedom","freedom",61
"body","body",61
"lights","lights",61
"special","special",60
"boat","boat",60
"birds","birds",60
"jeans","jeans",60
"somethin","somethin",60
"mmmm","mmmm",60
"schoolyard","schoolyard",60
"bust","bust",60
"note","note",59
"breeze","breeze",59
"cat","cat",59
"shines","shines",59
"laughter","laughter",59
"christmas","christmas",59
"taxi","taxi",59
"taken","taken",59
"easily","easily",59
"phone","phone",59
"eight","eight",58
"hit","hit",58
"railroad","railroad",58
"kill","kill",58
"hell","hell",58
"cloud","cloud",58
"fancy","fancy",58
"avenue","avenue",58
"forgotten","forgotten",58
"howl","howl",58
"hunting","hunting",58
"penthouse","penthouse",58
"plant","plant",58
"plough","plough",58
"quick","quick",58
"false","false",58
"harry","harry",58
"stoned","stoned",58
"picture","picture",58
"attention","attention",58
"beerbelly","beerbelly",58
"bonedigger","bonedigger",58
"cartoon","cartoon",58
"hallelujah","hallelujah",58
"rolemodel","rolemodel",58
"winter","winter",57
"dime","dime",57
"taking","taking",57
"soldiers","soldiers",57
"six","six",57
"broke","broke",57
"across","across",57
"alley","alley",57
"married","married",57
"everywhere","everywhere",57
"fifteen","fifteen",57
"eternally","eternally",57
"lonelier","lonelier",57
"measure","measure",57
"narrow","narrow",57
"colors","colors",57
"answered","answered",57
"flirting","flirting",57
"sees","sees",57
"darkened","darkened",57
"scenery","scenery",57
"happiness","happiness",56
"skies","skies",56
"loud","loud",56
"cut","cut",56
"cactus","cactus",56
"pump","pump",56
"stopped","stopped",56
"wear","wear",56
"choose","choose",56
"already","already",56
"funny","funny",56
"week","week",56
"starting","starting",56
"kodachrome","kodachrome",56
"written","written",55
"strawberries","strawberries",55
"cast","cast",55
"instrumental","instrumental",55
"fact","fact",55
"stuff","stuff",55
"smiling","smiling",55
"borrow","borrow",55
"depressin","depressin",55
"steadily","steadily",55
"swan","swan",55
"angels","angels",54
"thrill","thrill",54
"silence","silence",54
"laugh","laugh",54
"wearing","wearing",54
"precious","precious",54
"mournful","mournful",54
"blood","blood",53
"leavin","leavin",53
"closer","closer",53
"cryin","cryin",53
"tryin","tryin",53
