"","Word","Freq"
"extended","extended",38
"beating","beating",38
"bore","bore",38
"cavemen","cavemen",38
"fighting","fighting",38
"film","film",38
"focus","focus",38
"freakiest","freakiest",38
"hall","hall",38
"lawman","lawman",38
"saddning","saddning",38
"sailors","sailors",38
"selling","selling",38
"try","try",37
"standing","standing",37
"thought","thought",37
"school","school",36
"sins","sins",36
"meet","meet",36
"clever","clever",36
"fashioned","fashioned",36
"line","line",36
"social","social",36
"whirl","whirl",36
"hee","hee",36
"nooo","nooo",36
"ohhhhh","ohhhhh",36
"worship","worship",36
"went","went",35
"morning","morning",35
"change","change",35
"moved","moved",35
"hair","hair",34
"taken","taken",34
"birds","birds",34
"screen","screen",34
"seen","seen",33
"mean","mean",33
"place","place",33
"shalalala","shalalala",33
"moving","moving",33
"together","together",33
"sorrow","sorrow",33
"singing","singing",32
"arcade","arcade",32
"hearts","hearts",32
"cold","cold",32
"talking","talking",32
"taught","taught",32
"anyway","anyway",32
"high","high",31
"songs","songs",31
"difference","difference",31
"drink","drink",31
"father","father",31
"fords","fords",31
"handle","handle",31
"takes","takes",31
"waits","waits",31
"beat","beat",31
"young","young",31
"stars","stars",31
"evrybody","evrybody",30
"nitials","nitials",30
"watching","watching",30
"muscle","muscle",30
"nobody","nobody",30
"simple","simple",30
"angry","angry",30
"takin","takin",30
"farmer","farmer",30
"richard","richard",29
"robert","robert",29
"written","written",29
"trees","trees",29
"worst","worst",29
"lord","lord",29
"fear","fear",29
"bring","bring",29
"sings","sings",28
"fault","fault",28
"toys","toys",28
"doggone","doggone",28
"nassau","nassau",28
"skirts","skirts",28
"whole","whole",28
"else","else",28
"joy","joy",28
"gave","gave",28
"living","living",28
"blues","blues",27
"called","called",27
"lookin","lookin",27
"tonight","tonight",27
"children","children",27
"answer","answer",27
"head","head",27
"fool","fool",27
"coming","coming",26
"town","town",26
"friends","friends",26
"walk","walk",26
"friend","friend",26
"admit","admit",25
"follow","follow",25
"something","something",25
"floor","floor",25
"darlin","darlin",25
"places","places",25
"walkin","walkin",24
"weather","weather",24
"streets","streets",24
"dark","dark",24
"years","years",24
"heavens","heavens",24
"worth","worth",24
"sleep","sleep",23
"choice","choice",23
"lay","lay",23
"pretend","pretend",23
"lived","lived",23
"drown","drown",23
"today","today",23
"many","many",23
"yet","yet",23
"child","child",22
"year","year",22
"babe","babe",22
"hassle","hassle",22
"lady","lady",22
"lie","lie",22
"matilda","matilda",22
"real","real",22
"slowly","slowly",22
"truth","truth",22
"trying","trying",22
"waltzing","waltzing",22
"mmm","mmm",22
"affair","affair",22
"echoes","echoes",22
"shook","shook",22
"gotta","gotta",21
"rescue","rescue",21
"daily","daily",21
"early","early",21
"enlarging","enlarging",21
"familiar","familiar",21
"filling","filling",21
"glasses","glasses",21
"hello","hello",21
"hide","hide",21
"lesson","lesson",21
"nervous","nervous",21
"races","races",21
"teacher","teacher",21
"maybe","maybe",21
"walking","walking",21
"awful","awful",21
"grown","grown",21
"angel","angel",21
"closed","closed",21
"coughed","coughed",21
"crumpled","crumpled",21
"leafed","leafed",21
"magazine","magazine",21
"rubbed","rubbed",21
"sane","sane",21
"speaker","speaker",21
"wings","wings",21
"yawning","yawning",21
"dead","dead",21
"mother","mother",20
"deck","deck",20
"halls","halls",20
"girls","girls",20
"feelings","feelings",20
"bitter","bitter",20
"sky","sky",20
"found","found",20
"crowd","crowd",20
"ember","ember",20
"given","given",20
"happening","happening",20
"hearing","hearing",20
"knowing","knowing",20
"laugh","laugh",20
"learn","learn",20
"memory","memory",20
"near","near",20
"nights","nights",20
"word","word",20
"capturing","capturing",20
"luckiest","luckiest",20
"might","might",20
"poerty","poerty",20
"valentines","valentines",20
"wit","wit",20
"youre","youre",20
"small","small",20
"alive","alive",20
"concert","concert",20
"farwell","farwell",20
"feeling","feeling",20
"feels","feels",20
"flashing","flashing",20
"oww","oww",20
"turn","turn",20
"ziggy","ziggy",20
"round","round",19
"four","four",19
"nice","nice",19
"keeps","keeps",19
"adore","adore",19
"deepest","deepest",19
"devotion","devotion",19
"flow","flow",19
"forest","forest",19
"givin","givin",19
"notion","notion",19
"ocean","ocean",19
"sever","sever",19
"singin","singin",19
"case","case",19
"classic","classic",19
"designed","designed",19
"direction","direction",19
"edge","edge",19
"exception","exception",19
"fade","fade",19
"meets","meets",19
"ooooh","ooooh",19
"passing","passing",19
"perfection","perfection",19
"reaffirm","reaffirm",19
"test","test",19
"testimony","testimony",19
"witness","witness",19
"bed","bed",19
"bridge","bridge",19
"changed","changed",19
"clouds","clouds",19
"key","key",19
"looked","looked",19
"lovin","lovin",19
"ray","ray",19
"sax","sax",19
"solo","solo",19
"wonderful","wonderful",19
"yesterdays","yesterdays",19
"americas","americas",19
"bounds","bounds",19
"britannia","britannia",19
"broads","broads",19
"brow","brow",19
"clearest","clearest",19
"clowns","clowns",19
"cow","cow",19
"dog","dog",19
"fame","fame",19
"fools","fools",19
"hooked","hooked",19
"hordes","hordes",19
"ibiza","ibiza",19
"lennons","lennons",19
"mice","mice",19
"mickey","mickey",19
"million","million",19
"mouse","mouse",19
"mousey","mousey",19
"mummy","mummy",19
"norfolk","norfolk",19
"sale","sale",19
"seats","seats",19
"silver","silver",19
"spit","spit",19
"struck","struck",19
"sunken","sunken",19
"tortured","tortured",19
"view","view",19
"walks","walks",19
"workers","workers",19
"writ","writ",19
"wrote","wrote",19
"yelling","yelling",19
"ohh","ohh",18
"everyday","everyday",18
"york","york",18
"telling","telling",18
"caught","caught",18
"burn","burn",18
"buzzer","buzzer",18
"carpet","carpet",18
"churn","churn",18
"cried","cried",18
"downstairs","downstairs",18
"drops","drops",18
"fella","fella",18
"fly","fly",18
"goes","goes",18
"guts","guts",18
"jamaica","jamaica",18
"kitchen","kitchen",18
"knife","knife",18
"lick","lick",18
"married","married",18
"moore","moore",18
"none","none",18
"notice","notice",18
"pita","pita",18
"reunion","reunion",18
"roger","roger",18
"rolled","rolled",18
"seat","seat",18
"shrug","shrug",18
"skull","skull",18
"sleeves","sleeves",18
"sniff","sniff",18
"soak","soak",18
"spain","spain",18
"stella","stella",18
"stomach","stomach",18
"stuck","stuck",18
"tanqueray","tanqueray",18
"tear","tear",18
"thinking","thinking",18
"throes","throes",18
"truly","truly",18
"tshirt","tshirt",18
"tub","tub",18
"upstairs","upstairs",18
"’s","’s",18
"giving","giving",18
"jagger","jagger",18
"keith","keith",18
"livin","livin",18
"mick","mick",18
"obsolete","obsolete",18
"ready","ready",18
"richards","richards",18
"darling","darling",18
"easier","easier",18
"easy","easy",18
"ends","ends",18
"may","may",18
"ohhhhhstraight","ohhhhhstraight",18
"striaght","striaght",18
"whos","whos",18
"words","words",18
"bye","bye",18
"play","play",17
"along","along",17
"everybodys","everybodys",17
"talk","talk",17
"whispers","whispers",17
"wind","wind",17
"break","break",16
"piece","piece",16
"rejoice","rejoice",16
"free","free",16
"glass","glass",16
"surprise","surprise",16
"hotel","hotel",16
"afterbeats","afterbeats",15
"annette","annette",15
"bob","bob",15
"captain","captain",15
"charms","charms",15
"football","football",15
"mountain","mountain",15
"peaked","peaked",15
"roberts","roberts",15
"steady","steady",15
"team","team",15
"wall","wall",15
"writin","writin",15
"saw","saw",15
"price","price",15
"help","help",15
"met","met",15
"pay","pay",15
"close","close",15
"abused","abused",15
"circumstance","circumstance",15
"distant","distant",15
"finds","finds",15
"mans","mans",15
"move","move",15
"sayin","sayin",15
"sparing","sparing",15
"strange","strange",15
"tragedy","tragedy",15
"untrue","untrue",15
"walked","walked",15
"whys","whys",15
"apples","apples",15
"bees","bees",15
"boutique","boutique",15
"bucks","bucks",15
"carried","carried",15
"charged","charged",15
"ddt","ddt",15
"hot","hot",15
"late","late",15
"museum","museum",15
"pink","pink",15
"slam","slam",15
"spot","spot",15
"spots","spots",15
"swinging","swinging",15
"taxi","taxi",15
"twentyfive","twentyfive",15
"yellow","yellow",15
"ashore","ashore",14
"bamboo","bamboo",14
"banana","banana",14
"beachcombin","beachcombin",14
"beneath","beneath",14
"coconut","coconut",14
"crocodile","crocodile",14
"floatin","floatin",14
"forevermore","forevermore",14
"hut","hut",14
"isle","isle",14
"oahu","oahu",14
"royalty","royalty",14
"sang","sang",14
"settle","settle",14
"skindivin","skindivin",14
"skis","skis",14
"swam","swam",14
"wacky","wacky",14
"waikiki","waikiki",14
"water","water",14
"waved","waved",14
"wickywicky","wickywicky",14
"allowed","allowed",14
"alright","alright",14
"outside","outside",14
"choose","choose",14
"rose","rose",14
"afro","afro",14
"doin","doin",14
"drummer","drummer",14
"london","london",14
"maxi","maxi",14
"mini","mini",14
"naussau","naussau",14
"rock","rock",14
"roll","roll",14
"strum","strum",14
"sunshine","sunshine",14
"won","won",14
"done","done",14
"asked","asked",14
"held","held",14
"hidden","hidden",14
"instead","instead",14
"kept","kept",14
"kissed","kissed",14
"middle","middle",14
"pass","pass",14
"porch","porch",14
"someting","someting",14
"sooth","sooth",14
"step","step",14
"stood","stood",14
"stregnth","stregnth",14
"stronger","stronger",14
"urge","urge",14
"weakness","weakness",14
"whispered","whispered",14
"win","win",14
"wrapped","wrapped",14
"wants","wants",13
"picked","picked",13
"foot","foot",13
"brave","brave",13
"city","city",13
"belong","belong",13
"born","born",12
"ringing","ringing",12
"although","although",12
"bitch","bitch",12
"drifting","drifting",12
"ecstasy","ecstasy",12
"depend","depend",12
"supposed","supposed",12
"tryin","tryin",12
"angels","angels",12
"awakes","awakes",12
"awhile","awhile",12
"beautiful","beautiful",12
"blows","blows",12
"composed","composed",12
"dawning","dawning",12
"duet","duet",12
"farewell","farewell",12
"garrett","garrett",12
"harps","harps",12
"jackson","jackson",12
"lovely","lovely",12
"misunderstand","misunderstand",12
"mouth","mouth",12
"next","next",12
"ooh","ooh",12
"proud","proud",12
"saying","saying",12
"yesterday","yesterday",12
"admire","admire",11
"allows","allows",11
"beatin","beatin",11
"body","body",11
"boldly","boldly",11
"breathing","breathing",11
"careful","careful",11
"cascading","cascading",11
"certain","certain",11
"creamed","creamed",11
"cunts","cunts",11
"darkest","darkest",11
"derision","derision",11
"despite","despite",11
"dismay","dismay",11
"diversion","diversion",11
"either","either",11
"emotional","emotional",11
"entered","entered",11
"explain","explain",11
"figures","figures",11
"fingers","fingers",11
"flirtin","flirtin",11
"formica","formica",11
"fuck","fuck",11
"gently","gently",11
"gorgeous","gorgeous",11
"grab","grab",11
"guard","guard",11
"guess","guess",11
"guest","guest",11
"heyman","heyman",11
"hit","hit",11
"humpin","humpin",11
"jeans","jeans",11
"lifted","lifted",11
"liked","liked",11
"lots","lots",11
"luck","luck",11
"luscious","luscious",11
"miss","miss",11
"national","national",11
"neither","neither",11
"officer","officer",11
"painful","painful",11
"part","part",11
"penny","penny",11
"peoples","peoples",11
"police","police",11
"proved","proved",11
"queen","queen",11
"rarity","rarity",11
"rational","rational",11
"regretted","regretted",11
"rings","rings",11
"scare","scare",11
"sexy","sexy",11
"shit","shit",11
"showed","showed",11
"sleeve","sleeve",11
"slipaway","slipaway",11
"smart","smart",11
"smiled","smiled",11
"soldier","soldier",11
"sometimes","sometimes",11
"stiffed","stiffed",11
"tells","tells",11
"topped","topped",11
"tramps","tramps",11
"treat","treat",11
"turns","turns",11
"twenties","twenties",11
"universal","universal",11
"wallet","wallet",11
"wear","wear",11
"whipped","whipped",11
"wholly","wholly",11
"wishin","wishin",11
"raise","raise",11
"upon","upon",11
"dear","dear",11
"shame","shame",11
"churchbells","churchbells",10
"courtesy","courtesy",10
"lyrics","lyrics",10
"snows","snows",10
"theyre","theyre",10
"topdb","topdb",10
"hope","hope",10
"conversation","conversation",10
"country","country",10
"ego","ego",10
"knockin","knockin",10
"slow","slow",9
"brothers","brothers",9
"awarded","awarded",8
"blair","blair",8
"broadway","broadway",8
"dangerous","dangerous",8
"dedicate","dedicate",8
"disc","disc",8
"dollar","dollar",8
"fifties","fifties",8
"fifty","fifty",8
"fistful","fistful",8
"gamble","gamble",8
"games","games",8
"jockey","jockey",8
"nobel","nobel",8
"playing","playing",8
"president","president",8
"putting","putting",8
"quarters","quarters",8
"record","record",8
"rhythm","rhythm",8
"robotron","robotron",8
"rooted","rooted",8
"stevie","stevie",8
"tops","tops",8
"videotape","videotape",8
"bit","bit",8
"deep","deep",8
"enough","enough",8
"honey","honey",8
"possibly","possibly",8
"tough","tough",8
"whoa","whoa",8
"mmmgood","mmmgood",8
"refrain","refrain",8
"everywhere","everywhere",8
"hate","hate",8
"leaving","leaving",8
"state","state",8
"air","air",8
"must","must",8
"star","star",8
"garbage","garbage",8
"paint","paint",8
"rid","rid",8
"safe","safe",8
"somethin","somethin",8
"wash","wash",8
"ones","ones",8
"lead","lead",8
"everyone","everyone",8
"apollo","apollo",8
"lonely","lonely",8
"heaven","heaven",7
"acting","acting",7
"fast","fast",7
"mama","mama",7
"scene","scene",7
"treating","treating",7
"seems","seems",7
"eat","eat",7
"getting","getting",7
"moment","moment",7
"broke","broke",6
"ceiling","ceiling",6
"frown","frown",6
"mam","mam",6
"ohoh","ohoh",6
"okay","okay",6
"top","top",6
"types","types",6
"uhhhaa","uhhhaa",6
"falling","falling",6
"upside","upside",6
"blinded","blinded",6
"ectasy","ectasy",6
"laid","laid",6
"passion","passion",6
"sent","sent",6
"wherever","wherever",6
"use","use",6
"ago","ago",6
"begin","begin",6
"dancing","dancing",6
"forget","forget",6
"almost","almost",6
"greatest","greatest",6
"hands","hands",6
"second","second",6
"stretch","stretch",6
"thee","thee",6
"trials","trials",6
"window","window",6
"brother","brother",6
"permanent","permanent",6
"holy","holy",5
"peace","peace",5
"attitude","attitude",5
"brings","brings",5
"ease","ease",5
"folks","folks",5
"goin","goin",5
"jivetime","jivetime",5
"nose","nose",5
"nosy","nosy",5
"relaxed","relaxed",5
"stormy","stormy",5
"trip","trip",5
"three","three",5
"loved","loved",5
"chaos","chaos",5
"killing","killing",5
"travels","travels",4
"aha","aha",4
"broomed","broomed",4
"brought","brought",4
"cleaniness","cleaniness",4
"crook","crook",4
"dealers","dealers",4
"declare","declare",4
"default","default",4
"diseases","diseases",4
"downtown","downtown",4
"een","een",4
"fact","fact",4
"faul","faul",4
"fetch","fetch",4
"haha","haha",4
"hammer","hammer",4
"helped","helped",4
"hustlin","hustlin",4
"lend","lend",4
"longer","longer",4
"mainline","mainline",4
"maintenance","maintenance",4
"months","months",4
"mop","mop",4
"nails","nails",4
"nows","nows",4
"pails","pails",4
"particular","particular",4
"polish","polish",4
"pot","pot",4
"pushers","pushers",4
"rats","rats",4
"read","read",4
"roaches","roaches",4
"safety","safety",4
"shall","shall",4
"signs","signs",4
"snatchers","snatchers",4
"stacked","stacked",4
"stinkin","stinkin",4
"stories","stories",4
"strike","strike",4
"survive","survive",4
"tellin","tellin",4
"thieves","thieves",4
"trashmen","trashmen",4
