"","Word","Freq"
"reason","reason",2371
"bang","bang",2370
"keeps","keeps",2367
"belong","belong",2355
"ale","ale",2354
"lights","lights",2352
"hate","hate",2342
"street","street",2340
"holding","holding",2338
"seem","seem",2327
"watching","watching",2326
"alegrã­","alegrã­",2324
"moment","moment",2320
"calling","calling",2317
"feels","feels",2317
"save","save",2297
"word","word",2295
"shit","shit",2280
"livin","livin",2271
"slow","slow",2270
"don’t","don’t",2255
"alive","alive",2233
"stars","stars",2232
"lucky","lucky",2223
"bop","bop",2223
"roll","roll",2223
"cool","cool",2217
"drive","drive",2213
"aah","aah",2208
"everyone","everyone",2182
"lover","lover",2175
"wake","wake",2172
"shine","shine",2148
"war","war",2145
"gets","gets",2127
"train","train",2127
"magic","magic",2126
"write","write",2123
"sign","sign",2119
"control","control",2113
"lovers","lovers",2109
"pay","pay",2094
"lord","lord",2082
"nothin","nothin",2071
"tonights","tonights",2055
"lies","lies",2054
"moving","moving",2049
"jump","jump",2048
"talking","talking",2030
"feelin","feelin",2020
"ground","ground",2017
"somewhere","somewhere",2008
"brother","brother",1998
"treat","treat",1990
"lips","lips",1989
"star","star",1983
"use","use",1980
"bout","bout",1967
"rhythm","rhythm",1959
"hello","hello",1957
"born","born",1954
"almost","almost",1936
"running","running",1916
"boogie","boogie",1914
"guy","guy",1913
"follow","follow",1913
"romance","romance",1900
"’re","’re",1897
"everywhere","everywhere",1895
"ones","ones",1892
"needs","needs",1887
"thank","thank",1887
"black","black",1886
"white","white",1877
"bed","bed",1872
"angel","angel",1871
"top","top",1868
"michael","michael",1859
"part","part",1858
"sight","sight",1856
"nights","nights",1854
"share","share",1852
"worry","worry",1852
"cruel","cruel",1843
"modern","modern",1842
"afraid","afraid",1826
"looks","looks",1818
"met","met",1814
"dark","dark",1814
"sugar","sugar",1806
"saying","saying",1800
"caught","caught",1795
"started","started",1788
"leaving","leaving",1781
"sea","sea",1775
"dead","dead",1768
"child","child",1765
"wings","wings",1763
"car","car",1762
"burning","burning",1761
"carry","carry",1748
"dab","dab",1745
"fast","fast",1742
"tired","tired",1740
"past","past",1739
"whatever","whatever",1732
"buy","buy",1729
"million","million",1718
"low","low",1713
"lot","lot",1711
"known","known",1692
"taken","taken",1683
"spend","spend",1681
"telling","telling",1677
"dale","dale",1675
"road","road",1671
"called","called",1666
"tryin","tryin",1658
"blind","blind",1654
"ways","ways",1633
"somehow","somehow",1632
"front","front",1631
"secret","secret",1625
"eye","eye",1608
"mickey","mickey",1607
"window","window",1602
"across","across",1602
"upon","upon",1599
"finally","finally",1584
"mirror","mirror",1584
"funny","funny",1580
"outside","outside",1577
"everyday","everyday",1569
"blow","blow",1563
"walkin","walkin",1553
"missing","missing",1548
"minute","minute",1545
"giving","giving",1541
"catch","catch",1532
"straight","straight",1526
"rest","rest",1526
"full","full",1524
"voice","voice",1523
"dreaming","dreaming",1515
"waste","waste",1513
"pass","pass",1503
"moon","moon",1503
"taste","taste",1501
"pretend","pretend",1501
"phone","phone",1499
"special","special",1496
"ring","ring",1494
"picture","picture",1488
"happen","happen",1484
"turned","turned",1480
"wall","wall",1478
"near","near",1477
"turning","turning",1477
"house","house",1476
"hair","hair",1467
"memories","memories",1464
"win","win",1463
"trust","trust",1461
"singing","singing",1460
"simple","simple",1459
"talkin","talkin",1459
"laugh","laugh",1458
"kids","kids",1457
"built","built",1453
"higher","higher",1447
"number","number",1445
"mum","mum",1440
"learned","learned",1438
"radio","radio",1437
"songs","songs",1432
"looked","looked",1431
"somethin","somethin",1428
"meant","meant",1423
"swing","swing",1422
"bye","bye",1408
"bridge","bridge",1405
"darlin","darlin",1404
"throw","throw",1404
"huh","huh",1403
"breath","breath",1401
"fell","fell",1398
"everybodys","everybodys",1398
"okay","okay",1387
"oooh","oooh",1378
"lead","lead",1375
"swear","swear",1374
"walked","walked",1369
"anyone","anyone",1366
"scared","scared",1366
"earth","earth",1361
"guys","guys",1359
"whenever","whenever",1358
"needed","needed",1354
"three","three",1353
"check","check",1351
"rockin","rockin",1350
"gettin","gettin",1344
"spoken","spoken",1333
