"","Word","Freq"
"rather","rather",171
"onnnn","onnnn",171
"box","box",170
"old","old",169
"tried","tried",169
"trying","trying",169
"catch","catch",168
"city","city",168
"pushin","pushin",168
"feet","feet",167
"pray","pray",166
"pain","pain",166
"seven","seven",165
"rpt","rpt",165
"thread","thread",165
"sleepwalk","sleepwalk",162
"ancient","ancient",162
"huh","huh",161
"chance","chance",161
"cmon","cmon",159
"work","work",158
"wide","wide",158
"goin","goin",157
"making","making",155
"awake","awake",155
"planet","planet",155
"slowly","slowly",155
"turns","turns",155
"chimney","chimney",154
"gettin","gettin",154
"mundian","mundian",154
"reach","reach",153
"guaranteed","guaranteed",153
"fab","fab",153
"twilight","twilight",152
"young","young",150
"kind","kind",150
"mean","mean",150
"rap","rap",149
"yall","yall",148
"caught","caught",148
"heyee","heyee",148
"must","must",147
"style","style",147
"walkin","walkin",147
"comin","comin",146
"nananana","nananana",146
"kill","kill",145
"fear","fear",144
"seemed","seemed",144
"nothin","nothin",144
"needs","needs",144
"pretty","pretty",143
"outta","outta",143
"skin","skin",142
"ancients","ancients",142
"dancing","dancing",142
"lightning","lightning",141
"worst","worst",141
"wanted","wanted",140
"ending","ending",140
"booty","booty",140
"bang","bang",140
"hell","hell",139
"game","game",138
"blow","blow",138
"fell","fell",137
"strength","strength",136
"control","control",135
"sign","sign",135
"hit","hit",135
"tears","tears",134
"actions","actions",134
"past","past",133
"sorry","sorry",133
"wall","wall",133
"vain","vain",133
"means","means",132
"sometimes","sometimes",132
"fun","fun",132
"bach","bach",132
"deep","deep",131
"moving","moving",131
"bass","bass",131
"pleasure","pleasure",130
"says","says",130
"alright","alright",130
"god","god",130
"trip","trip",130
"wot","wot",130
"sit","sit",129
"magic","magic",128
"black","black",128
"suddenly","suddenly",128
"twice","twice",128
"cares","cares",128
"minute","minute",128
"deny","deny",127
"tha","tha",127
"gently","gently",126
"klf","klf",126
"mess","mess",126
"pay","pay",125
"busy","busy",125
"realize","realize",125
"middle","middle",125
"near","near",124
"hearts","hearts",123
"took","took",123
"nobody","nobody",123
"fill","fill",123
"doubt","doubt",122
"talkin","talkin",122
"speak","speak",122
"don","don",122
"arms","arms",120
"thrill","thrill",120
"pumpin","pumpin",120
"physically","physically",120
"iny","iny",120
"mattered","mattered",120
"drive","drive",119
"eye","eye",119
"thank","thank",119
"seasons","seasons",118
"ten","ten",118
"name","name",118
"remember","remember",118
"next","next",118
"brain","brain",117
"gold","gold",117
"fight","fight",116
"bright","bright",116
"matter","matter",116
"longer","longer",116
"hair","hair",115
"answer","answer",115
"ocean","ocean",115
"used","used",115
"wish","wish",114
"push","push",114
"underground","underground",114
"bishop","bishop",114
"darling","darling",113
"lost","lost",113
"pulling","pulling",113
"talking","talking",112
"spin","spin",112
"half","half",112
"promise","promise",111
"compare","compare",111
"clouds","clouds",110
"holding","holding",110
"learn","learn",110
"drop","drop",109
"lady","lady",109
"stomp","stomp",109
"beautiful","beautiful",108
"touched","touched",108
"since","since",108
"win","win",108
