"","Word","Freq"
"lover","lover",1404
"nothin","nothin",1402
"gets","gets",1395
"meet","meet",1386
"bout","bout",1379
"word","word",1372
"power","power",1364
"water","water",1363
"child","child",1354
"send","send",1343
"anymore","anymore",1340
"beautiful","beautiful",1333
"caught","caught",1318
"floor","floor",1316
"dancing","dancing",1312
"singing","singing",1303
"hit","hit",1302
"belong","belong",1301
"bed","bed",1299
"burning","burning",1295
"drive","drive",1291
"step","step",1279
"tight","tight",1274
"known","known",1272
"sorry","sorry",1271
"dead","dead",1271
"feelin","feelin",1265
"felt","felt",1264
"pay","pay",1259
"house","house",1258
"blind","blind",1256
"repeat","repeat",1253
"’s","’s",1253
"holding","holding",1243
"gimme","gimme",1218
"rest","rest",1217
"cool","cool",1213
"train","train",1212
"truth","truth",1211
"white","white",1210
"ground","ground",1197
"star","star",1193
"making","making",1179
"sit","sit",1178
"playing","playing",1172
"someday","someday",1172
"learn","learn",1166
"hate","hate",1158
"siedah","siedah",1157
"twist","twist",1150
"use","use",1146
"talking","talking",1141
"wine","wine",1141
"memory","memory",1134
"walked","walked",1134
"guy","guy",1133
"everywhere","everywhere",1133
"rollin","rollin",1125
"spend","spend",1122
"carry","carry",1121
"drink","drink",1121
"hang","hang",1119
"fast","fast",1115
"body","body",1114
"shout","shout",1106
"born","born",1105
"hell","hell",1089
"fell","fell",1086
"beat","beat",1085
"cut","cut",1085
"everyday","everyday",1080
"reach","reach",1075
"land","land",1072
"strange","strange",1070
"voice","voice",1063
"car","car",1060
"passion","passion",1059
"knees","knees",1057
"band","band",1053
"gun","gun",1053
"school","school",1046
"men","men",1045
"lives","lives",1040
"throw","throw",1035
"mmm","mmm",1034
"cried","cried",1033
"nowhere","nowhere",1032
"surfin","surfin",1025
"looked","looked",1023
"sight","sight",1017
"saying","saying",1017
"win","win",1016
"lips","lips",1013
"low","low",1008
"straight","straight",999
"meant","meant",998
"control","control",997
"don’t","don’t",995
"closer","closer",992
"children","children",992
"lovers","lovers",989
"calling","calling",984
"worry","worry",982
"full","full",980
"cmon","cmon",975
"looks","looks",975
"anyway","anyway",970
"bright","bright",967
"king","king",961
"gold","gold",955
"ahead","ahead",954
"gettin","gettin",953
"three","three",952
"drop","drop",951
"american","american",951
"pray","pray",949
"fear","fear",948
"met","met",948
"number","number",948
"held","held",947
"stone","stone",945
"taste","taste",939
"keeps","keeps",939
"worth","worth",939
"dancin","dancin",938
"ampampquot","ampampquot",937
"tryin","tryin",936
"poor","poor",935
"breathe","breathe",932
"son","son",931
"warm","warm",931
"blues","blues",929
"ring","ring",929
"mary","mary",927
"sitting","sitting",926
"lying","lying",923
"afraid","afraid",922
"watching","watching",918
"blame","blame",916
"streets","streets",914
"across","across",914
"solo","solo",907
"turned","turned",906
"livin","livin",905
"radio","radio",903
"downn","downn",900
"taking","taking",899
"woah","woah",899
"scream","scream",899
"runnin","runnin",898
"ones","ones",898
"pieces","pieces",895
"’m","’m",894
"huh","huh",893
"hello","hello",891
"called","called",891
"perfect","perfect",890
"guitar","guitar",889
"whatever","whatever",889
"fame","fame",886
"somehow","somehow",885
"beside","beside",883
"breath","breath",883
"sign","sign",882
"everybodys","everybodys",880
"faith","faith",877
"past","past",874
"nice","nice",873
"blood","blood",871
"read","read",868
"swear","swear",866
"yesterday","yesterday",863
"pass","pass",859
"catch","catch",855
"answer","answer",855
"needs","needs",854
"mother","mother",853
"empty","empty",845
"share","share",843
"half","half",842
"lookin","lookin",842
"four","four",839
"turning","turning",836
"laugh","laugh",835
"jesus","jesus",833
"leaving","leaving",826
"hanging","hanging",822
"dreaming","dreaming",822
"blow","blow",821
"million","million",818
"midnight","midnight",814
"great","great",813
"oooh","oooh",813
"dirty","dirty",807
"minute","minute",807
"year","year",806
"wear","wear",797
"shot","shot",797
"whenever","whenever",797
"peace","peace",797
"rhythm","rhythm",795
"tender","tender",795
"near","near",794
"crying","crying",788
"feelings","feelings",788
"funny","funny",782
"lead","lead",782
"treat","treat",782
"bop","bop",781
"burn","burn",778
"ooo","ooo",777
"glory","glory",777
"doin","doin",773
"dear","dear",773
"loud","loud",772
"sister","sister",771
"longer","longer",767
"story","story",765
"thunder","thunder",764
"bye","bye",763
"glad","glad",760
"hurts","hurts",758
"daddy","daddy",756
"wheel","wheel",755
"different","different",754
"grow","grow",754
"trust","trust",753
"joy","joy",753
"working","working",753
"shoes","shoes",752
"means","means",752
"secret","secret",749
"started","started",748
"magic","magic",748
"taken","taken",747
"front","front",745
"stinks","stinks",745
"top","top",744
"suddenly","suddenly",744
"holdin","holdin",743
"brown","brown",742
"quite","quite",742
"twice","twice",737
"desire","desire",736
"ways","ways",735
"clear","clear",734
"kissed","kissed",734
"thank","thank",732
"price","price",732
"anyone","anyone",732
"finally","finally",730
"human","human",730
"wall","wall",721
"earth","earth",716
"later","later",716
"places","places",716
"thinkin","thinkin",712
"outside","outside",711
"realize","realize",708
"queen","queen",705
"promise","promise",704
"wherever","wherever",703
"flame","flame",702
"memories","memories",701
"pull","pull",700
"anywhere","anywhere",700
"safari","safari",700
"war","war",699
"wide","wide",698
"songs","songs",697
"dig","dig",695
"fever","fever",695
"skin","skin",690
"angels","angels",689
"falls","falls",687
"loose","loose",685
"cuz","cuz",684
"pride","pride",682
"speak","speak",681
"instrumental","instrumental",681
"pop","pop",678
"country","country",677
"green","green",677
"doubt","doubt",677
"talkin","talkin",676
"paradise","paradise",676
"losing","losing",676
"died","died",675
"shining","shining",675
"broke","broke",672
"driving","driving",672
"kick","kick",671
"faces","faces",671
"check","check",670
"jump","jump",666
"sittin","sittin",665
"needed","needed",665
"special","special",664
"miles","miles",664
"window","window",662
"second","second",661
"phone","phone",660
"future","future",660
"laughing","laughing",654
"middle","middle",645
"kill","kill",644
"kinda","kinda",644
"dry","dry",641
"rockin","rockin",639
"tough","tough",638
"telling","telling",638
"mountain","mountain",637
"thoughts","thoughts",636
"moving","moving",635
"played","played",634
"moonlight","moonlight",631
"sugar","sugar",630
"begin","begin",628
"wop","wop",626
"mirror","mirror",626
"evening","evening",624
"changed","changed",624
"knock","knock",622
"desert","desert",618
"ten","ten",615
"woo","woo",612
"fantasy","fantasy",611
"corner","corner",608
"edge","edge",608
"remind","remind",607
"become","become",605
"’re","’re",605
"thousand","thousand",603
"sense","sense",603
"louie","louie",603
"saturday","saturday",602
"sand","sand",600
"rolling","rolling",599
"mercy","mercy",599
"women","women",598
"giving","giving",598
"bleed","bleed",597
"turns","turns",596
"point","point",596
"crowd","crowd",595
"ocean","ocean",595
"dont","dont",595
"dog","dog",592
"kept","kept",592
"knocked","knocked",592
"stick","stick",591
"six","six",591
"everythings","everythings",590
"brings","brings",590
"wings","wings",590
"steady","steady",589
"dawn","dawn",588
"luck","luck",588
"jack","jack",588
"beating","beating",587
"california","california",587
