"","Word","Freq"
"groove","groove",687
"stars","stars",686
"reason","reason",684
"lights","lights",680
"god","god",676
"funky","funky",672
"glad","glad",671
"somethin","somethin",668
"running","running",668
"talking","talking",667
"gets","gets",665
"takes","takes",662
"lot","lot",662
"everyone","everyone",661
"ooo","ooo",661
"twistin","twistin",661
"daddy","daddy",659
"hide","hide",658
"water","water",654
"broken","broken",653
"singing","singing",651
"met","met",647
"clock","clock",643
"nights","nights",641
"grow","grow",639
"mess","mess",631
"follow","follow",630
"’m","’m",627
"ordinary","ordinary",626
"heard","heard",621
"minute","minute",613
"lie","lie",610
"matter","matter",609
"started","started",606
"cold","cold",606
"spoken","spoken",605
"breaking","breaking",602
"bridge","bridge",602
"working","working",602
"bed","bed",601
"near","near",599
"future","future",597
"moon","moon",594
"control","control",594
"thank","thank",593
"feels","feels",592
"hang","hang",588
"born","born",588
"built","built",588
"anything","anything",587
"party","party",585
"number","number",582
"wall","wall",574
"joy","joy",573
"cool","cool",572
"wake","wake",567
"reaching","reaching",567
"lips","lips",566
"brown","brown",566
"getting","getting",566
"memories","memories",565
"shy","shy",565
"robin","robin",563
"amp","amp",557
"white","white",555
"john","john",554
"dark","dark",554
"feelin","feelin",553
"carry","carry",553
"window","window",552
"burning","burning",549
"answer","answer",548
"wind","wind",542
"whenever","whenever",539
"children","children",538
"phone","phone",537
"treat","treat",537
"send","send",536
"power","power",535
"mountain","mountain",534
"mister","mister",534
"corner","corner",532
"dont","dont",531
"tough","tough",531
"solid","solid",531
"truth","truth",528
"fun","fun",527
"stoned","stoned",526
"magic","magic",525
"tired","tired",525
"saying","saying",522
"automatic","automatic",520
"kept","kept",519
"shoot","shoot",519
"says","says",517
"tight","tight",516
"stopped","stopped",516
"beautiful","beautiful",515
"mmm","mmm",514
"gray","gray",514
"check","check",513
"knees","knees",510
"word","word",508
"jack","jack",507
"apart","apart",505
"twist","twist",502
"river","river",494
"ago","ago",494
"trouble","trouble",494
"spend","spend",493
"moment","moment",493
"fight","fight",493
"use","use",492
"queen","queen",490
"uptown","uptown",490
"plays","plays",490
"celebrate","celebrate",489
"hell","hell",487
"sugar","sugar",486
"amen","amen",485
"three","three",483
"shadows","shadows",483
"movin","movin",482
"yea","yea",482
"strength","strength",480
"postman","postman",480
"lovely","lovely",479
"bye","bye",478
"fell","fell",477
"tree","tree",476
"year","year",476
"blow","blow",471
"son","son",470
"alive","alive",469
"steady","steady",467
