"","Word","Freq"
"getting","getting",2055
"nice","nice",2053
"gave","gave",2050
"seem","seem",2045
"gets","gets",2042
"road","road",2042
"today","today",2029
"lord","lord",2026
"pretty","pretty",2023
"caught","caught",2016
"bye","bye",2015
"soon","soon",2014
"guy","guy",2007
"hook","hook",2004
"lay","lay",1999
"lionel","lionel",1962
"wants","wants",1943
"ahead","ahead",1941
"telling","telling",1940
"however","however",1925
"pray","pray",1914
"standing","standing",1903
"takes","takes",1900
"called","called",1894
"wonder","wonder",1890
"moment","moment",1888
"three","three",1878
"shine","shine",1878
"truth","truth",1865
"felt","felt",1860
"trust","trust",1857
"keeps","keeps",1856
"needs","needs",1842
"halo","halo",1840
"star","star",1839
"roll","roll",1831
"hide","hide",1829
"hurts","hurts",1821
"brother","brother",1806
"amp","amp",1799
"falling","falling",1795
"bum","bum",1786
"ooo","ooo",1775
"minute","minute",1772
"lights","lights",1764
"glad","glad",1761
"heaven","heaven",1757
"went","went",1754
"worry","worry",1749
"swear","swear",1745
"along","along",1744
"�t","�t",1739
"running","running",1737
"drop","drop",1734
"ring","ring",1728
"fight","fight",1728
"’ll","’ll",1722
"aaah","aaah",1710
"doo","doo",1709
"street","street",1708
"special","special",1708
"apart","apart",1694
"lot","lot",1692
"comin","comin",1692
"turned","turned",1691
"full","full",1690
"drive","drive",1684
"yea","yea",1684
"handle","handle",1676
"blow","blow",1673
"years","years",1669
"top","top",1664
"makin","makin",1659
"wit","wit",1653
"feet","feet",1649
"second","second",1646
"tired","tired",1644
"near","near",1636
"doin","doin",1624
"broken","broken",1605
"whenever","whenever",1605
"bounce","bounce",1605
"meet","meet",1596
"known","known",1596
"crying","crying",1593
"eye","eye",1580
"warm","warm",1578
"wall","wall",1577
"started","started",1571
"broke","broke",1568
"lies","lies",1568
"already","already",1567
"lovers","lovers",1564
"radio","radio",1561
"front","front",1557
"hair","hair",1549
"whatcha","whatcha",1545
"pay","pay",1544
"fast","fast",1544
"word","word",1542
"car","car",1541
"dancing","dancing",1532
"use","use",1530
"mmm","mmm",1526
"solo","solo",1518
"shit","shit",1514
"room","room",1507
"ground","ground",1502
"calling","calling",1493
"sound","sound",1489
"groove","groove",1487
"somehow","somehow",1487
"somethin","somethin",1485
"darlin","darlin",1470
"taking","taking",1464
"belong","belong",1462
"fat","fat",1461
"reach","reach",1453
"ways","ways",1446
"forth","forth",1442
"cryin","cryin",1441
"ohhh","ohhh",1441
"magic","magic",1438
"black","black",1432
"dancin","dancin",1430
"blame","blame",1429
"playing","playing",1423
"doubt","doubt",1421
"pull","pull",1421
"funny","funny",1417
"worth","worth",1417
"ooooh","ooooh",1414
"ass","ass",1411
"afraid","afraid",1409
"rest","rest",1409
"everyday","everyday",1409
"everywhere","everywhere",1404
"knees","knees",1402
"needed","needed",1395
"speak","speak",1390
"met","met",1383
"thang","thang",1383
"says","says",1377
"higher","higher",1373
"hearts","hearts",1372
"walked","walked",1371
"runnin","runnin",1367
"jermaine","jermaine",1365
"almost","almost",1355
"closer","closer",1352
"diana","diana",1349
"bit","bit",1343
"moving","moving",1341
"tomorrow","tomorrow",1336
"played","played",1335
"satisfied","satisfied",1328
"breathe","breathe",1324
"alive","alive",1323
"stuff","stuff",1323
"lips","lips",1316
"stars","stars",1306
"buy","buy",1305
"boo","boo",1303
"act","act",1301
"flow","flow",1299
"learn","learn",1291
"stick","stick",1289
"hoping","hoping",1281
"lets","lets",1281
"number","number",1271
"meant","meant",1269
"red","red",1268
"memories","memories",1268
"breaking","breaking",1266
"moon","moon",1263
"nigga","nigga",1263
"grow","grow",1260
"yall","yall",1257
"funky","funky",1250
"missing","missing",1248
"blind","blind",1245
"taste","taste",1241
"clear","clear",1237
"funk","funk",1236
"leaving","leaving",1236
"bet","bet",1228
"middle","middle",1220
"escape","escape",1219
"child","child",1210
"realize","realize",1205
"sugar","sugar",1204
"burn","burn",1198
"mother","mother",1197
"pride","pride",1196
"wont","wont",1185
"supposed","supposed",1183
"proud","proud",1175
"freak","freak",1174
"fell","fell",1173
"different","different",1167
"sayin","sayin",1167
"dig","dig",1164
"four","four",1163
"clothes","clothes",1156
"children","children",1147
"giving","giving",1147
"daddy","daddy",1142
"rather","rather",1142
"luck","luck",1140
"ahh","ahh",1138
"games","games",1136
"men","men",1130
"upon","upon",1114
"secret","secret",1109
"fear","fear",1107
"outta","outta",1103
"city","city",1102
"means","means",1101
"sit","sit",1101
"catch","catch",1101
"jungle","jungle",1099
"knock","knock",1097
"confused","confused",1092
"return","return",1086
"pants","pants",1082
"beside","beside",1075
"cos","cos",1074
"someday","someday",1072
"walking","walking",1069
"past","past",1067
"smack","smack",1067
"answer","answer",1066
"waste","waste",1065
"dum","dum",1065
"weak","weak",1064
"dear","dear",1062
"everytime","everytime",1062
"skin","skin",1057
"shawty","shawty",1055
"finally","finally",1053
"changed","changed",1051
"wide","wide",1048
"fill","fill",1046
"knowing","knowing",1043
"holding","holding",1042
"johnny","johnny",1041
"voice","voice",1039
"train","train",1036
"working","working",1031
"white","white",1030
"sight","sight",1026
"searching","searching",1021
"block","block",1021
"locked","locked",1020
"anymore","anymore",1018
"yesterday","yesterday",1018
"beyonce","beyonce",1013
"straight","straight",1012
"wind","wind",1011
"sunshine","sunshine",1011
"guys","guys",1009
"cried","cried",1007
"lying","lying",1007
"hood","hood",1005
"gimme","gimme",1002
"lives","lives",1001
"trouble","trouble",1000
"grind","grind",999
"somewhere","somewhere",998
"yet","yet",998
"kick","kick",997
"longer","longer",996
"deal","deal",995
"shoes","shoes",994
"pick","pick",993
"pretend","pretend",990
"count","count",988
"movin","movin",986
"fact","fact",984
"aye","aye",983
"doop","doop",981
"losing","losing",978
"ghetto","ghetto",977
"single","single",974
"angel","angel",972
"given","given",970
"early","early",969
"intro","intro",962
"send","send",961
"stronger","stronger",961
"thoia","thoia",960
"wake","wake",958
"feelings","feelings",956
"wear","wear",955
"girlfriend","girlfriend",953
"ago","ago",953
"livin","livin",952
"rub","rub",949
"explain","explain",947
"win","win",946
"chick","chick",945
"women","women",943
"sir","sir",942
"callin","callin",940
"family","family",936
"summer","summer",932
"rockin","rockin",929
"begin","begin",929
"ill","ill",929
"kids","kids",929
"kill","kill",927
"deny","deny",927
"happen","happen",922
"monica","monica",920
"ohoh","ohoh",914
"belongs","belongs",909
"hell","hell",907
"mmmm","mmmm",907
"dress","dress",906
"bag","bag",903
"poor","poor",902
"burnin","burnin",901
"everybodys","everybodys",899
"whether","whether",899
"modern","modern",898
"survive","survive",894
"hmm","hmm",893
"mack","mack",891
"sex","sex",890
"mirror","mirror",888
"looks","looks",886
"turns","turns",885
"dark","dark",883
"carry","carry",881
"hang","hang",881
"shorty","shorty",880
"brings","brings",879
"sick","sick",879
"burning","burning",878
"rule","rule",874
"beg","beg",873
"jeans","jeans",872
"held","held",871
"fantasy","fantasy",871
"okay","okay",871
"everyone","everyone",869
"brandy","brandy",869
"rap","rap",868
"pum","pum",868
"playin","playin",865
"mma","mma",865
"shame","shame",864
"tellin","tellin",864
"instead","instead",863
"starts","starts",860
"outside","outside",859
"dog","dog",858
"bought","bought",857
"lovely","lovely",852
"tear","tear",849
"read","read",848
"mess","mess",848
"cross","cross",844
"cmon","cmon",844
"lil","lil",844
"fellas","fellas",842
"probably","probably",839
"lucky","lucky",838
"nasty","nasty",838
"perfect","perfect",835
"square","square",833
"track","track",832
"bitch","bitch",831
"booty","booty",831
"dust","dust",827
"brand","brand",827
"fever","fever",819
"water","water",815
"school","school",813
"pleasure","pleasure",811
"window","window",803
"dreaming","dreaming",803
"shy","shy",802
"choose","choose",801
"purple","purple",800
"stutter","stutter",800
"stutters","stutters",800
"haha","haha",798
"sister","sister",796
"tough","tough",793
"point","point",791
"bright","bright",788
"mercy","mercy",788
"anyway","anyway",786
"hurry","hurry",786
"marvin","marvin",786
"shining","shining",785
"bomb","bomb",784
"singing","singing",783
"five","five",783
"million","million",783
"’re","’re",778
"hip","hip",778
"fuck","fuck",777
"akon","akon",776
"cars","cars",774
"faith","faith",773
"drama","drama",773
"happened","happened",771
"’t","’t",771
"ball","ball",770
"looked","looked",769
"loose","loose",769
"watching","watching",768
"lately","lately",763
"across","across",761
"midnight","midnight",761
"´ll","´ll",760
"whine","whine",760
"cut","cut",759
"grab","grab",759
"turning","turning",758
"page","page",754
"tender","tender",753
"sleeping","sleeping",751
"wings","wings",750
"type","type",750
"dead","dead",747
"freaky","freaky",744
"ella","ella",744
"driving","driving",739
"stone","stone",738
"suddenly","suddenly",738
"fair","fair",738
"dah","dah",738
"strength","strength",735
"stroke","stroke",735
"hanging","hanging",734
"thrill","thrill",733
"wine","wine",732
"woah","woah",730
"eat","eat",730
"happiness","happiness",730
"drum","drum",730
"picture","picture",730
"romance","romance",727
"half","half",727
"nine","nine",726
"lifetime","lifetime",722
"shines","shines",722
"prayed","prayed",722
"wild","wild",721
"pass","pass",720
"mamasemamasamamacosa","mamasemamasamamacosa",720
"torn","torn",719
"pocket","pocket",717
"brought","brought",715
"nowhere","nowhere",714
"sea","sea",711
"background","background",711
"asked","asked",710
"jump","jump",710
"peace","peace",710
"quit","quit",707
"calls","calls",705
"double","double",705
"dreamed","dreamed",705
"candy","candy",704
"flying","flying",702
"ohhhh","ohhhh",702
"cloud","cloud",701
"america","america",694
"fresh","fresh",694
"places","places",694
"week","week",692
"thousand","thousand",691
"holdin","holdin",691
"bottle","bottle",689
"anyone","anyone",689
"dry","dry",689
"ones","ones",686
"scared","scared",686
"simple","simple",685
"earth","earth",683
"sense","sense",683
"coast","coast",683
"streets","streets",681
"miracles","miracles",679
"diva","diva",677
"drink","drink",675
"anywhere","anywhere",674
"gold","gold",673
"kissed","kissed",672
"surely","surely",672
"’d","’d",672
"energy","energy",669
"remind","remind",668
"´m","´m",668
"poppin","poppin",665
"sitting","sitting",664
"dropped","dropped",664
"puppy","puppy",664
"surprise","surprise",661
"force","force",661
"ahhh","ahhh",660
"breakin","breakin",660
"likewo","likewo",660
"style","style",659
"relationship","relationship",659
"hours","hours",658
"scream","scream",658
"takin","takin",658
"biz","biz",657
"forgive","forgive",654
"safe","safe",654
"rainy","rainy",654
"shout","shout",653
"twice","twice",652
"gives","gives",652
"clap","clap",651
"wha","wha",650
"reality","reality",648
"wishing","wishing",647
"thoughts","thoughts",646
"spot","spot",646
"jones","jones",645
"instrumental","instrumental",645
"’ve","’ve",645
"attitude","attitude",645
"papa","papa",644
"ampampquot","ampampquot",644
"rollin","rollin",643
"follow","follow",639
"shakin","shakin",639
"flash","flash",638
"ima","ima",638
"sent","sent",637
"kept","kept",636
"breath","breath",635
"lead","lead",634
"fighting","fighting",634
"laugh","laugh",632
"thick","thick",632
"rough","rough",631
"ten","ten",630
"hatin","hatin",627
"bodied","bodied",627
"fallin","fallin",626
"battlefield","battlefield",626
"jay","jay",625
"plans","plans",623
"relax","relax",623
"ecstasy","ecstasy",622
"moonlight","moonlight",621
"folks","folks",620
"babygirl","babygirl",620
"letter","letter",619
"pump","pump",619
"naughty","naughty",616
"waited","waited",614
"book","book",614
"heat","heat",614
"story","story",612
"taken","taken",612
"temptations","temptations",612
"stir","stir",612
"endless","endless",611
"conversation","conversation",611
"don´t","don´t",611
"bar","bar",609
"paid","paid",609
"mountain","mountain",609
"storm","storm",609
"chicks","chicks",609
"greatest","greatest",608
"anybody","anybody",607
"wonderful","wonderful",605
"sunday","sunday",604
"walkin","walkin",602
"whip","whip",602
"dip","dip",601
"misled","misled",601
"six","six",600
"floy","floy",600
"glamorous","glamorous",600
"songs","songs",599
"father","father",597
"telephone","telephone",596
"toast","toast",596
"matters","matters",596
"adore","adore",594
"diamonds","diamonds",593
"christmas","christmas",593
"figure","figure",591
"queen","queen",590
"screamin","screamin",590
"loud","loud",589
"deserve","deserve",588
"busy","busy",587
"brown","brown",586
"boss","boss",585
"gogo","gogo",585
"dreamin","dreamin",585
"impossible","impossible",585
"buggin","buggin",584
"twist","twist",583
"push","push",583
"dirty","dirty",580
"succeed","succeed",580
"rules","rules",580
"walks","walks",578
"bodys","bodys",578
"georgia","georgia",577
"notice","notice",577
"fallen","fallen",576
"minds","minds",576
"upgrade","upgrade",576
"married","married",575
"mister","mister",575
"stole","stole",575
"rolling","rolling",575
"stood","stood",574
"empty","empty",574
"spell","spell",573
"clock","clock",572
"fame","fame",571
"ampquot","ampquot",571
"steady","steady",570
"shes","shes",570
"jack","jack",568
"whose","whose",568
"satisfy","satisfy",567
"riding","riding",567
"respect","respect",566
"oops","oops",566
"trippin","trippin",566
"lied","lied",565
"less","less",563
"truck","truck",563
"theres","theres",561
"mistakes","mistakes",561
"sittin","sittin",561
"bites","bites",561
"feedback","feedback",561
"keeping","keeping",560
"mans","mans",559
"problem","problem",559
"woh","woh",559
"later","later",556
"loosen","loosen",556
"buttons","buttons",555
"angels","angels",554
"bills","bills",549
"niggas","niggas",547
"mint","mint",546
"scene","scene",545
"war","war",545
"price","price",545
"raise","raise",543
"silly","silly",543
"admit","admit",542
"julep","julep",540
"disturbia","disturbia",540
"mary","mary",539
"decide","decide",539
"born","born",538
"question","question",537
"forgot","forgot",536
"hour","hour",535
"none","none",535
"slip","slip",535
"worlds","worlds",534
"hitch","hitch",533
"emotion","emotion",530
"lyrics","lyrics",528
"scrub","scrub",528
"job","job",527
"worse","worse",527
"touching","touching",526
"uhh","uhh",526
"beats","beats",526
"secrets","secrets",526
"wanting","wanting",525
"chase","chase",525
"asking","asking",524
"dough","dough",524
"fake","fake",524
"plain","plain",524
"rude","rude",524
"chill","chill",523
"although","although",522
"key","key",522
"wearing","wearing",522
"country","country",521
"within","within",521
"hike","hike",521
"independent","independent",520
"shot","shot",519
"write","write",517
"course","course",517
"harder","harder",517
"gun","gun",516
"spent","spent",515
"monkey","monkey",515
"saved","saved",514
