"","Word","Freq"
"ladies","ladies",172
"fun","fun",171
"step","step",170
"holla","holla",170
"lyrics","lyrics",169
"walk","walk",168
"heaven","heaven",168
"last","last",168
"thoughts","thoughts",168
"groove","groove",167
"high","high",167
"minute","minute",167
"test","test",167
"ghetto","ghetto",165
"gettin","gettin",165
"boogie","boogie",165
"always","always",164
"guillao","guillao",162
"nanananana","nanananana",162
"boy�","boy�",162
"poor","poor",161
"war","war",160
"sea","sea",160
"car","car",160
"bitch","bitch",160
"eye","eye",159
"new","new",159
"burn","burn",159
"club","club",159
"road","road",158
"kinda","kinda",156
"great","great",155
"livin","livin",155
"five","five",155
"sound","sound",154
"less","less",154
"forget","forget",154
"maxine","maxine",154
"men","men",154
"hang","hang",153
"needs","needs",153
"stick","stick",152
"especially","especially",152
"apart","apart",152
"act","act",152
"outta","outta",150
"hands","hands",150
"rockin","rockin",150
"dead","dead",150
"hook","hook",150
"dancehall","dancehall",150
"ese","ese",150
"flowers","flowers",149
"dreams","dreams",149
"slow","slow",149
"wait","wait",148
"pay","pay",148
"heap","heap",148
"rizla","rizla",148
"sworn","sworn",148
"zing","zing",148
"tongue","tongue",148
"vex","vex",147
"shawty","shawty",147
"knees","knees",146
"free","free",145
"year","year",145
"lips","lips",144
"cyaan","cyaan",144
"shaggy","shaggy",144
"pull","pull",144
"came","came",143
"city","city",143
"downtown","downtown",143
"chance","chance",142
"thought","thought",142
"cut","cut",141
"stars","stars",140
"spun","spun",140
"darkness","darkness",140
"brown","brown",140
"cmon","cmon",140
"tour","tour",140
"motores","motores",140
"moves","moves",139
"even","even",138
"scream","scream",138
"fade","fade",137
"mother","mother",136
"flirty","flirty",136
"flex","flex",136
"selassie","selassie",136
"fame","fame",136
"waiting","waiting",135
"party","party",135
"belly","belly",135
"chest","chest",135
"cuse","cuse",135
"withe","withe",135
"siente","siente",135
"four","four",134
"dark","dark",133
"understand","understand",132
"ref","ref",132
"set","set",132
"top","top",131
"burned","burned",131
"bring","bring",130
"school","school",129
"room","room",129
"blow","blow",129
"straight","straight",129
"use","use",128
"desire","desire",128
"follow","follow",128
"girlie","girlie",128
"wild","wild",127
"ride","ride",126
"impacto","impacto",126
"shawty’s","shawty’s",126
"whoa","whoa",126
"trip","trip",125
"sign","sign",125
"hole","hole",125
"talking","talking",124
"blind","blind",124
"alot","alot",123
"lay","lay",123
"craigy","craigy",123
"kingston","kingston",122
"ball","ball",121
"teach","teach",121
"first","first",121
"romance","romance",121
"ways","ways",120
"groovin","groovin",120
"someone","someone",120
"cah","cah",120
"donna","donna",120
"ignite","ignite",120
"par","par",120
"gasolinadame","gasolinadame",120
"mambo","mambo",120
"prenda","prenda",120
"rakata","rakata",120
"cherry","cherry",119
"dung","dung",119
"hide","hide",118
"tek","tek",118
"wise","wise",118
"esto","esto",118
"seen","seen",117
"begin","begin",117
"feet","feet",117
"mmm","mmm",117
"song","song",116
"middle","middle",116
"kill","kill",116
"wee","wee",115
"mean","mean",115
"everywhere","everywhere",115
"loved","loved",114
"sweetheart","sweetheart",114
"ease","ease",114
"dude","dude",114
"ago","ago",114
"end","end",113
"cup","cup",113
"broke","broke",113
"giving","giving",113
"ziggy","ziggy",113
"gypsy","gypsy",112
"son","son",112
"caw","caw",112
"rude","rude",112
"luv","luv",112
"open","open",111
"drive","drive",111
"tearin","tearin",111
"slippin�","slippin�",110
"truth","truth",110
"along","along",109
"words","words",109
"thunder","thunder",109
"trenchtown","trenchtown",108
"blessings","blessings",108
"bumper","bumper",108
"says","says",108
"angels","angels",108
"missing","missing",108
"machine","machine",108
"hotta","hotta",108
"passa","passa",108
"toppa","toppa",108
"wap","wap",108
"jamrock","jamrock",108
"cuerpo","cuerpo",108
"attraction","attraction",107
"reach","reach",107
"bright","bright",106
"walking","walking",106
"meet","meet",106
"thanks","thanks",106
"nation","nation",106
"moon","moon",105
"knows","knows",105
"million","million",105
"romancing","romancing",105
"gusta","gusta",105
"eat","eat",104
"tonite","tonite",104
"tight","tight",103
"without","without",103
"rush","rush",103
"leaving","leaving",103
"riddim","riddim",103
"damn","damn",103
"crew","crew",103
"fat","fat",103
"situation","situation",103
"guess","guess",102
"park","park",102
"sunset","sunset",102
"hurt","hurt",102
"bit","bit",102
"cau","cau",102
"moth","moth",102
"excuse","excuse",101
"fly","fly",101
"check","check",101
"con","con",101
"river","river",100
"lost","lost",99
"passing","passing",99
"soldiers","soldiers",99
"everyday","everyday",99
"oonu","oonu",99
"ten","ten",99
"corner","corner",98
"juice","juice",98
"full","full",98
"wey","wey",98
"mya","mya",98
"streets","streets",97
"friends","friends",96
"handle","handle",96
"honey","honey",96
"loaded","loaded",96
"furlong","furlong",96
"roll","roll",95
"enjoy","enjoy",95
"shabba","shabba",95
"wreck","wreck",95
"las","las",95
"went","went",94
"hair","hair",94
"clues","clues",94
"blessing","blessing",92
"boat","boat",92
"six","six",91
"ask","ask",91
"quit","quit",90
"tender","tender",90
"area","area",90
"skeet","skeet",90
"annabella","annabella",90
"roof","roof",90
"moment","moment",89
"candle","candle",89
"fear","fear",88
"lose","lose",88
"dirt","dirt",88
"yet","yet",87
"jus","jus",87
"fall","fall",87
"laba","laba",87
"lock","lock",87
"dale","dale",87
"hay","hay",87
"side","side",86
"far","far",86
"times","times",86
"search","search",86
"wear","wear",86
"shape","shape",86
"bottom","bottom",85
"tired","tired",85
"stone","stone",85
"queen","queen",85
"ragamuffin","ragamuffin",85
"shan","shan",85
"buff","buff",85
"player","player",85
"swing","swing",84
"guh","guh",84
"wings","wings",84
"mention","mention",84
"chimney","chimney",84
"alexx","alexx",84
"voy","voy",84
"’s","’s",84
"john","john",83
"across","across",83
"caress","caress",83
"father","father",83
"holding","holding",83
"seems","seems",83
"cuz","cuz",83
"blaze","blaze",83
"police","police",82
"telephone","telephone",82
"gets","gets",82
"twice","twice",82
"nuttin","nuttin",82
"type","type",82
"choose","choose",81
"dirty","dirty",81
"rich","rich",81
"doogy","doogy",81
"shoogy","shoogy",81
"están","están",81
"sube","sube",81
"card","card",81
"circles","circles",80
"ohohohround","ohohohround",80
"ring","ring",80
"ballero","ballero",80
"lies","lies",80
"warm","warm",80
"heartbroken","heartbroken",80
"outspoken","outspoken",80
"mucha","mucha",80
"subele","subele",80
"mountain","mountain",79
"point","point",79
"shoes","shoes",79
"front","front",78
"rose","rose",78
"keys","keys",78
"boyfriend","boyfriend",78
"buh","buh",78
"wickest","wickest",78
"though","though",77
"destiny","destiny",77
"gently","gently",77
"tha","tha",77
"glad","glad",76
"jake","jake",76
"lovely","lovely",76
"mistreats","mistreats",76
"representatives","representatives",76
"sincerely","sincerely",76
"survive","survive",76
"thrive","thrive",76
"mama","mama",76
"affect","affect",76
"beside","beside",76
"bride","bride",76
"center","center",76
"clyder","clyder",76
"collector","collector",76
"connivers","connivers",76
"denied","denied",76
"dirll","dirll",76
"disease","disease",76
"friars","friars",76
"fuel","fuel",76
"grill","grill",76
"hider","hider",76
"infector","infector",76
"injector","injector",76
"inspector","inspector",76
"lecture","lecture",76
"liars","liars",76
"players","players",76
"protector","protector",76
"riders","riders",76
"sector","sector",76
"spiderman","spiderman",76
"watchi","watchi",76
"wide","wide",76
"damsel","damsel",76
"dread","dread",76
"glue","glue",76
"graveyards","graveyards",76
"noon","noon",76
"lonely","lonely",75
"lying","lying",75
"bear","bear",75
"pop","pop",75
"pega","pega",75
"small","small",74
"shall","shall",74
"searching","searching",74
"choked","choked",74
"dollar","dollar",74
"eighties","eighties",74
"ganja","ganja",74
"grand","grand",74
"memories","memories",74
"modern","modern",74
"rowing","rowing",74
"surely","surely",74
"pick","pick",74
"meant","meant",74
"conmigo","conmigo",74
"cuando","cuando",74
"smell","smell",73
"speak","speak",73
"pity","pity",73
"also","also",73
"wash","wash",72
"near","near",72
"dun","dun",72
